ArrayTaskID     SeqNum
1               05fa5048-f355-3274-b565-c0ddc547b315
2               0b86f508-5df9-4a46-bc59-5b9536dbde9f
3               185d3943-dd15-397a-8b2e-69cd86628fb7
4               25e5c600-36fe-3245-9cc0-40ef91620c22
5               27be7d34-ecb4-377b-8477-ccfd7cf4d0bc
6               280269f9-6111-311d-b351-ce9f63f88c81
7               2f2321d2-7912-3567-a789-25e46a145bda
8               3bffdcff-c3a7-38b6-a0f2-64196d130958
9               44adf4c4-6064-362f-94d3-323ed42cfda9
10              5589de60-1727-3e3f-9423-33437fc5da4b
