ArrayTaskID     SeqNum
1               0402
2               0323
3               0252
4               0048
5               0419
6               0856
7               0949
8               0769
9               0435
10              0812
11              0284
12              0394
13              0673
14              0250
15              0288
16              0006
17              0400
18              0736
19              0264
20              0527
21              0359
22              0290
23              0990
24              0256
25              0234
26              0731
27              0300
28              0439
29              0244
30              0698
31              0525
32              0122
33              0075
34              0254
35              0055
36              0163
37              0740
38              0978
39              0712
40              0544
41              0976
42              0021
43              0292
44              0848
45              0792
46              0066
47              0405
48              0200
49              0675
50              0260
51              0375
52              0542
53              0710
54              0988
55              0242
56              0294
57              0381
58              0165
59              0685
60              0157
61              0053
62              0388
63              0286
64              0304
65              0507
66              0298
67              0706
68              0665
69              0790
70              0218
71              0190
72              0034
73              0687
74              0421
75              0671
76              0032
77              0236
78              0505
79              0854
80              0726
81              0044
82              0351
83              0384
84              0805
85              0539
86              0203
87              0407
88              0373
89              0246
90              0361
91              0767
92              0139
93              0194
94              0701
95              0058
96              0230
97              0228
98              0716
99              0392
100             0437
101             0302
102             0060
103             0192
104             0655
105             0240
106             0128
107             0296
108             0787
109             0206
110             0679
