ArrayTaskID     SeqNum
1               001
2               011
3               016
4               028
5               053
6               063
7               084
8               106
9               123
10              158
11              002
12              003
13              004
14              005
15              006
16              008
17              012
18              013
19              014
20              015
21              017
22              018
23              019
24              020
25              021
26              023
27              024
28              027
29              029
30              030
31              032
32              033
33              034
34              035
35              037
36              038
37              039
38              040
39              041
40              042
41              043
42              044
43              045
44              046
45              047
46              048
47              050
48              051
49              052
50              054
51              055
52              056
53              057
54              058
55              059
56              062
57              064
58              065
59              066
60              067
61              068
62              069
63              070
64              071
65              072
66              073
67              074
68              077
69              078
70              079
71              080
72              085
73              086
74              088
75              089
76              090
77              091
78              092
79              093
80              094
81              095
82              097
83              098
84              099
85              100
86              101
87              102
88              103
89              104
90              105
91              109
92              110
93              112
94              113
95              115
96              116
97              117
98              119
99              120
100             122
101             124
102             139
103             149
